Région,Type de sol,pH du sol,Pluviométrie (mm/an),Température (°C),Irrigation,Budget disponible (MAD/ha),Prix (MAD/kg),Rendement (kg/ha),Période de plantation,Durée de culture (mois),Sensibilité au climat,Bénéfice estimé (MAD/ha),Culture recommandée
Meknès,Sableux,6.55,496.6,20.2,Non,17891.89,12.24,17945.34,Mars - Avril,3.1,Faible,153755.67,Blé
Meknès,Sableux,6.88,519.3,21.1,Oui,13121.75,10.41,15235.49,Mai - Juin,6.0,Forte,111021.02,Blé
Ouarzazate,Argileux,6.9,544.3,20.4,Oui,25602.17,7.78,19643.89,Toute l’année,4.5,Moyenne,106980.62,Blé
Agadir,Argileux,6.76,426.8,21.3,Non,22687.8,9.83,18351.25,Mai - Juin,5.5,Faible,126274.95,Blé
Fès,Limoneux,6.35,518.5,18.5,Oui,21234.27,11.57,12142.98,Mars - Avril,4.2,Faible,98346.0,Blé
Meknès,Limoneux,6.94,504.8,21.6,Non,20100.13,9.99,20144.63,Mars - Avril,3.3,Moyenne,140871.4,Blé
Fès,Argileux,6.14,555.7,22.0,Non,17204.78,4.77,18938.14,Septembre - Octobre,5.1,Forte,63234.45,Blé
Ouarzazate,Limoneux,6.8,427.8,21.8,Oui,17275.3,9.06,20193.89,Toute l’année,5.1,Forte,128069.65,Blé
Rabat,Argileux,6.46,540.9,22.0,Non,26983.36,5.89,18775.69,Mars - Avril,5.6,Faible,77412.17,Blé
Rabat,Limoneux,6.53,464.1,18.1,Oui,17956.0,9.87,17870.95,Mai - Juin,5.1,Moyenne,123470.39,Blé
Rabat,Sableux,6.25,436.4,21.9,Oui,9807.96,4.5,23654.03,Septembre - Octobre,3.1,Faible,74510.19,Blé
Agadir,Sableux,6.97,524.5,21.1,Non,17762.27,6.09,19216.04,Mai - Juin,4.8,Faible,81917.98,Blé
Agadir,Sableux,6.84,432.1,19.0,Non,8662.78,7.81,20310.22,Mars - Avril,5.5,Moyenne,111035.97,Blé
Ouarzazate,Limoneux,6.89,562.1,19.6,Non,15111.3,6.75,19000.9,Mars - Avril,3.1,Moyenne,89779.25,Blé
Ouarzazate,Sableux,6.67,426.4,18.7,Oui,19186.67,3.91,20312.6,Mars - Avril,5.1,Forte,55595.59,Blé
Rabat,Limoneux,6.04,455.5,19.0,Oui,16358.64,8.05,22683.8,Toute l’année,4.3,Forte,127823.21,Blé
Rabat,Limoneux,6.9,540.5,18.2,Non,9762.08,9.82,17316.88,Mai - Juin,4.8,Forte,119036.23,Blé
Agadir,Argileux,6.99,416.4,20.7,Oui,17732.06,11.39,21583.86,Septembre - Octobre,3.5,Faible,172088.12,Blé
Rabat,Limoneux,6.79,545.1,18.3,Oui,18535.19,8.35,16986.31,Septembre - Octobre,5.6,Moyenne,99284.98,Blé
Ouarzazate,Sableux,6.07,482.7,18.7,Non,19579.26,8.63,15976.26,Mars - Avril,4.1,Faible,96512.59,Blé
